,IDX,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BR_RP,BP_G,G_RP,pscol,Teff,Dist,Rad,Lum_Flame,Mass_Flame,Age_Flame,z_Flame,SpType_ELS
210954,25281,60.85006999585,24.78463425814,66106251133331712,1.2834,8.899,-8.876,0.647,13.097473,0.002763,13.477193,0.002842,12.541863,0.003809,12.320387,0.031721,0.935329,0.37972,0.55561,,6148.0,747.5238,1.7294,3.8847134,1.297,3.533,0.35750583,F      
194744,9071,40.6659730138,13.90265019805,32734458319339776,1.3196,21.544,15.962,-14.469,13.587245,0.002774,13.950446,0.003055,13.055484,0.003861,12.847425,0.039207,0.894962,0.363201,0.531761,,5944.1,730.2078,1.2977,1.9094291,1.085,6.189,0.414329,F      
83001,83001,95.26514916353,-4.65041844549,3020430940548628992,1.0451,3.917,-0.977,-3.793,11.96763,0.002795,12.090843,0.002866,11.734392,0.003802,11.606747,0.014113,0.356451,0.123213,0.233238,,9441.0,921.401,1.8155,23.82745,2.137,0.263,0.5686232,A      
218945,33272,37.04556164034,19.42001161992,86493601890666368,0.8254,3.872,2.275,3.132,14.526422,0.0028,14.892409,0.003262,13.954504,0.004056,13.608963,0.117347,0.937905,0.365988,0.571918,,5759.7,1101.5527,1.3875,2.027171,1.015,9.501,0.52064794,F      
209593,23920,58.30505213865,22.4613333113,63890597763351936,0.812,7.735,-4.452,-6.325,14.040979,0.002764,14.408342,0.002979,13.500031,0.003839,13.228687,0.070042,0.908312,0.367363,0.540949,,6132.3,1081.6997,1.5724,3.6856093,1.279,3.72,0.3875785,F      
202883,17210,61.22335077763,19.66915706724,50353032645108224,1.1395,11.551,9.725,6.233,14.089733,0.002764,14.481238,0.003033,13.521647,0.003822,13.27434,0.103388,0.959591,0.391505,0.568086,,6116.8,812.113,1.2212,2.0572255,1.135,4.046,0.4352355,F      
294541,8868,54.62462744307,13.84707289993,41179566615937792,1.5311,9.081,3.596,-8.339,14.231042,0.002765,14.749002,0.003078,13.539434,0.003991,13.261189,0.099434,1.209568,0.51796,0.691608,,5988.1,613.7834,1.0763,1.4316632,1.07,3.926,0.47404972,G      
295463,9790,56.80980357693,18.88713312784,44946012415820672,1.5833,13.391,8.459,-10.381,14.011157,0.002771,14.462322,0.003108,13.390109,0.003865,13.150034,0.075078,1.072213,0.451165,0.621048,,5779.5,596.1078,1.0404,1.1597276,0.983,7.371,0.5107441,G      
237092,51419,43.37857400957,30.16998970741,129261546198508160,1.3654,11.646,10.304,-5.426,12.504889,0.002766,12.827975,0.003006,11.997505,0.003891,11.755872,0.079154,0.83047,0.323087,0.507383,,6311.3,744.0115,2.015,5.321376,1.393,2.887,0.31406653,F      
609623,23950,245.85979019781,-26.52459852207,6045465987261482240,0.6703,22.411,-12.303,-18.732,16.283705,0.002891,16.25449,0.01581,16.027931,0.021853,,,0.226559,-0.029215,0.255774,,16194.3,10395.211,1.8566,,,,,O      
532612,46939,313.94677613752,45.82091119553,2163326068681340032,0.2502,7.849,-5.142,-5.93,13.308691,0.003152,15.955086,0.009577,11.89285,0.005129,11.219749,0.011235,4.062236,2.646395,1.415841,,3781.2,5440.6377,179.5552,2089.1006,1.923,1.341,0.02159743,M      
333540,47867,77.54664475975,31.05889667253,156477482640633600,0.8191,10.295,4.773,-9.122,14.64583,0.002768,15.286758,0.003048,13.864683,0.003873,13.571145,0.068034,1.422075,0.640928,0.781147,,6254.0,1153.7593,1.9118,5.0608234,1.379,2.897,0.4419873,G      
508165,22492,251.7149288123,62.80843488576,1631538920473829888,6.0816,71.773,48.4,-52.998,15.021312,0.002787,16.17624,0.004234,13.953669,0.00392,13.516085,0.189348,2.222572,1.154929,1.067643,,3731.3,164.753,0.5586,0.053712577,0.549,13.35,0.6111713,M      
189417,3744,46.81683253692,8.07662007478,13815505337535744,2.8149,23.714,-4.384,23.306,12.695659,0.00277,13.158274,0.002896,12.059953,0.003814,11.792055,0.020675,1.098321,0.462615,0.635706,,5901.7,349.5023,1.1341,1.4310231,1.03,6.288,0.46494043,F      
105475,5475,78.7191446379,39.98888521045,188722172955346304,0.2854,0.687,0.311,-0.613,16.611588,0.002824,16.963453,0.005136,16.07259,0.004394,,,0.890863,0.351866,0.538998,,10032.1,4714.7153,1.6697,26.861895,2.247,,0.7163856,B      
236158,50485,38.6054794202,26.98890733006,127389112252390400,1.2217,18.475,18.097,-3.716,13.430788,0.002767,13.779048,0.003321,12.910825,0.003923,12.682519,0.023023,0.868223,0.34826,0.519963,,6010.0,777.7996,1.4603,2.5999389,1.105,6.574,0.36607832,F      
81920,81920,91.90836066404,-13.23754433483,2994696630383030784,1.2771,1.388,1.269,-0.561,11.523882,0.002777,11.671616,0.002843,11.253362,0.003799,11.116218,0.01018,0.418254,0.147734,0.27052,,8241.7,764.3641,2.0374,17.185902,1.907,0.703,0.51159555,A      
204447,18774,60.45593120327,21.23455873318,52950353988189568,0.6795,4.152,4.02,-1.04,14.222934,0.002763,14.583312,0.002891,13.68564,0.003852,13.508088,0.090471,0.897672,0.360378,0.537293,,6621.1,1450.8477,1.8657,5.526266,1.425,2.035,0.37482703,F      
35663,35663,320.73596150531,20.57569804589,1790315816932655488,1.6443,7.132,6.958,1.567,11.765617,0.002797,11.936251,0.002905,11.460108,0.003807,11.338902,0.013314,0.476143,0.170633,0.30551,,7204.7,665.1354,1.7641,6.0098286,1.513,0.821,0.45858327,A      
574069,88396,270.79915412918,-31.18374540044,4043919693015195776,0.1036,7.057,-1.958,-6.78,15.325199,0.003599,16.57347,0.019894,13.992447,0.008271,13.158466,0.027067,2.581022,1.24827,1.332752,,4870.3,2065.5325,9.1169,38.584435,2.703,0.502,0.09253948,M      
183209,83209,300.3193386546,18.67625894981,1822122184386703488,0.6247,5.215,-1.536,-4.984,10.312171,0.00279,10.43221,0.002908,10.065331,0.003849,,,0.366879,0.120039,0.24684,,12098.3,1362.0549,5.0365,648.79675,4.341,,0.46920884,B      
497131,11458,128.84073568526,9.24947865106,599693196776426368,7.4287,58.982,-43.303,-40.047,13.708692,0.002785,14.665159,0.003187,12.742316,0.00388,12.313606,0.055446,1.922843,0.956468,0.966375,,4168.5,136.4082,0.6507,0.11113473,0.646,12.161,0.7011981,M      
588105,2432,299.5737243372,30.36229728775,2030434450474049408,0.1294,5.598,-2.537,-4.99,15.15728,0.002795,16.736294,0.004301,13.91652,0.003887,13.37879,0.076625,2.819774,1.579014,1.24076,,15008.3,2940.7085,7.8025,2796.813,6.408,,0.49689007,O      
280840,95167,80.01544030859,33.11564166809,181148560765725440,0.8167,4.933,4.162,-2.647,14.223777,0.00277,14.616006,0.002926,13.660245,0.003827,13.303268,0.07124,0.955761,0.392229,0.563532,,6018.2,1072.2712,1.498,3.166485,1.148,5.919,0.51886195,F      
609425,23752,249.69571587586,-38.41260330803,6017622706413704576,0.0798,5.239,-2.539,-4.583,15.660699,0.00279,16.395662,0.004406,14.706296,0.004286,,,1.689366,0.734963,0.954403,,15059.1,3203.2769,2.7508,368.40207,4.301,,0.9466618,O      
150686,50686,42.59560145413,59.38089791316,464458729765080448,0.3602,0.43,-0.048,-0.427,14.622632,0.002766,15.048352,0.003015,14.008285,0.00391,,,1.040068,0.42572,0.614347,,10146.7,4500.6626,4.461,64.659515,2.617,0.328,0.4173478,B      
424424,38751,51.25405406728,31.91644292943,124126964332076544,1.967,12.679,0.963,-12.642,15.112982,0.002776,15.813663,0.004711,14.29404,0.004059,13.975804,0.086179,1.519623,0.700681,0.818942,,5099.8,502.829,0.8389,0.42133617,0.814,11.295,0.6288506,K      
395740,10067,57.33003552463,15.80914158678,42987541688462208,0.5791,4.055,2.243,-3.378,12.66517,0.002762,13.415157,0.002891,11.819177,0.003792,11.478793,0.010941,1.595981,0.749988,0.845993,,5309.2,1673.532,9.0286,49.139038,2.802,0.455,0.06960825,K      
303814,18141,56.74227998422,27.5249959355,70774674424299264,1.0689,22.938,5.243,-22.33,14.716229,0.002767,15.097957,0.00347,14.16057,0.003905,13.85068,0.159798,0.937387,0.381728,0.555658,,5856.8,764.0239,0.8638,1.0962298,1.038,3.322,0.55586237,G      
582449,96776,276.45589538397,-26.72286298228,4052062087685622272,0.0292,7.419,-3.398,-6.596,14.641052,0.002797,15.810635,0.003685,13.549297,0.004673,12.825038,0.112983,2.261337,1.169582,1.091755,,4929.4,2569.767,10.5809,65.77231,2.703,0.502,0.05262644,M      
474573,88900,78.56759223526,31.73663801091,180588913645315200,0.762,5.347,0.633,-5.309,14.974278,0.002765,15.542859,0.003415,14.249438,0.003884,13.809237,0.140447,1.293421,0.568581,0.72484,,5409.5,965.3789,1.3854,2.422784,1.01,10.926,0.4963175,K      
443913,58240,71.09099708341,27.93842290935,154763344011998080,0.7739,5.141,0.256,-5.135,11.757958,0.002771,12.88984,0.002912,10.714112,0.003795,10.252555,0.007651,2.175728,1.131882,1.043846,,5006.8,1434.075,19.79,152.79744,3.4,0.271,0.11015478,K      
